,Unnamed: 0,date,target,insult,tweet,mainTweetTarget
3982,3983,2018-05-25,democrats,criticize Trade Deals being negotiated by me when they don’t even know what the deals are,Funny to watch the Democrats criticize Trade Deals being negotiated by me when they don’t even know what the deals are and when for 8 years the Obama Administration did NOTHING on trade except let other countries rip off the United States. Lost almost $800 Billion/year under ‘O’,Hilary
3983,3984,2018-05-25,the-media,corrupt,"‘Everyone knows there was a Spy, and in fact the people who were involved in the Spying are admitting that there was a Spy...Widespread Spying involving multiple people.’ Mollie Hemingway, The Federalist Senior Editor But the corrupt Mainstream Media hates this monster story!",Hilary
3984,3985,2018-05-26,mueller-team,13 Angry Democrats,"This whole Russia Probe is Rigged. Just an excuse as to why the Dems and Crooked Hillary lost the Election and States that haven’t been lost in decades. 13 Angry Democrats, and all Dems if you include the people who worked for Obama for 8 years. #SPYGATE & CONFLICTS OF INTEREST!",Hilary
3985,3986,2018-05-26,mueller-team,CONFLICTS OF INTEREST!,"This whole Russia Probe is Rigged. Just an excuse as to why the Dems and Crooked Hillary lost the Election and States that haven’t been lost in decades. 13 Angry Democrats, and all Dems if you include the people who worked for Obama for 8 years. #SPYGATE & CONFLICTS OF INTEREST!",Hilary
3986,3987,2018-05-26,mueller-team,13 Angry Democrats,"When will the 13 Angry Democrats (& those who worked for President O), reveal their disqualifying Conflicts of Interest? It’s been a long time now! Will they be indelibly written into the Report along with the fact that the only Collusion is with the Dems, Justice, FBI & Russia?",Hilary
3987,3988,2018-05-26,mueller-team,disqualifying Conflicts of Interest,"When will the 13 Angry Democrats (& those who worked for President O), reveal their disqualifying Conflicts of Interest? It’s been a long time now! Will they be indelibly written into the Report along with the fact that the only Collusion is with the Dems, Justice, FBI & Russia?",Hilary
3988,3989,2018-05-26,department-of-justice,crooked,"With Spies, or ‘Informants’ as the Democrats like to call them because it sounds less sinister (but it’s not), all over my campaign, even from a very early date, why didn’t the crooked highest levels of the FBI or ‘Justice’ contact me to tell me of the phony Russia problem?",Hilary
3989,3990,2018-05-26,ms-13,THUGS,"Put pressure on the Democrats to end the horrible law that separates children from there parents once they cross the Border into the U.S. Catch and Release, Lottery and Chain must also go with it and we MUST continue building the WALL! DEMOCRATS ARE PROTECTING MS-13 THUGS.",Hilary
3990,3991,2018-05-26,hillary-clinton,Crooked,"This whole Russia Probe is Rigged. Just an excuse as to why the Dems and Crooked Hillary lost the Election and States that haven’t been lost in decades. 13 Angry Democrats, and all Dems if you include the people who worked for Obama for 8 years. #SPYGATE & CONFLICTS OF INTEREST!",Hilary
3991,3992,2018-05-26,trump-russia,phony,"With Spies, or ‘Informants’ as the Democrats like to call them because it sounds less sinister (but it’s not), all over my campaign, even from a very early date, why didn’t the crooked highest levels of the FBI or ‘Justice’ contact me to tell me of the phony Russia problem?",Hilary
3992,3993,2018-05-26,trump-russia,Rigged,"This whole Russia Probe is Rigged. Just an excuse as to why the Dems and Crooked Hillary lost the Election and States that haven’t been lost in decades. 13 Angry Democrats, and all Dems if you include the people who worked for Obama for 8 years. #SPYGATE & CONFLICTS OF INTEREST!",Hilary
3993,3994,2018-05-26,trump-russia,an excuse as to why the Dems and Crooked Hillary lost the Election,"This whole Russia Probe is Rigged. Just an excuse as to why the Dems and Crooked Hillary lost the Election and States that haven’t been lost in decades. 13 Angry Democrats, and all Dems if you include the people who worked for Obama for 8 years. #SPYGATE & CONFLICTS OF INTEREST!",Hilary
3994,3995,2018-05-26,fbi,crooked,"With Spies, or ‘Informants’ as the Democrats like to call them because it sounds less sinister (but it’s not), all over my campaign, even from a very early date, why didn’t the crooked highest levels of the FBI or ‘Justice’ contact me to tell me of the phony Russia problem?",Hilary
3995,3996,2018-05-26,democrats,PROTECTING MS-13 THUGS,"Put pressure on the Democrats to end the horrible law that separates children from there parents once they cross the Border into the U.S. Catch and Release, Lottery and Chain must also go with it and we MUST continue building the WALL! DEMOCRATS ARE PROTECTING MS-13 THUGS.",Hilary
3996,3997,2018-05-26,the-new-york-times,Failing and Corrupt,"Unlike what the Failing and Corrupt New York Times would like people to believe, there is ZERO disagreement within the Trump Administration as to how to deal with North Korea...and if there was, it wouldn’t matter. The @nytimes has called me wrong right from the beginning!",Hilary
3997,3998,2018-05-26,the-new-york-times,has called me wrong right from the beginning!,"Unlike what the Failing and Corrupt New York Times would like people to believe, there is ZERO disagreement within the Trump Administration as to how to deal with North Korea...and if there was, it wouldn’t matter. The @nytimes has called me wrong right from the beginning!",Hilary
3998,3999,2018-05-26,the-new-york-times,Failing,"The Failing @nytimes quotes ‘a senior White House official,’ who doesn’t exist, as saying ‘even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.’ WRONG AGAIN! Use real people, not phony sources.",Hilary
3999,4000,2018-05-26,the-new-york-times,"quotes “a senior White House official,” who doesn’t exist","The Failing @nytimes quotes ‘a senior White House official,’ who doesn’t exist, as saying ‘even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.’ WRONG AGAIN! Use real people, not phony sources.",Hilary
4000,4001,2018-05-26,the-new-york-times,WRONG AGAIN!,"The Failing @nytimes quotes ‘a senior White House official,’ who doesn’t exist, as saying ‘even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.’ WRONG AGAIN! Use real people, not phony sources.",Hilary
4001,4002,2018-05-26,the-new-york-times,phony sources,"The Failing @nytimes quotes ‘a senior White House official,’ who doesn’t exist, as saying ‘even if the meeting were reinstated, holding it on June 12 would be impossible, given the lack of time and the amount of planning needed.’ WRONG AGAIN! Use real people, not phony sources.",Hilary
4002,4003,2018-05-27,mueller-team,Rigged Investigation!,"Why didn’t the 13 Angry Democrats investigate the campaign of Crooked Hillary Clinton, many crimes, much Collusion with Russia? Why didn’t the FBI take the Server from the DNC? Rigged Investigation!",Hilary
4003,4004,2018-05-27,mueller-team,13 Angry Democrats,"Why didn’t the 13 Angry Democrats investigate the campaign of Crooked Hillary Clinton, many crimes, much Collusion with Russia? Why didn’t the FBI take the Server from the DNC? Rigged Investigation!",Hilary
4004,4005,2018-05-27,hillary-clinton,Crooked,"Why didn’t the 13 Angry Democrats investigate the campaign of Crooked Hillary Clinton, many crimes, much Collusion with Russia? Why didn’t the FBI take the Server from the DNC? Rigged Investigation!",Hilary
4005,4006,2018-05-27,hillary-clinton,Crooked,"Why didn’t President Obama do something about the so-called Russian Meddling when he was told about it by the FBI before the Election? Because he thought Crooked Hillary was going to win, and he didn’t want to upset the apple cart! He was in charge, not me, and did nothing.",Hilary
4006,4007,2018-05-27,barack-obama,"He was in charge, not me, and did nothing","Why didn’t President Obama do something about the so-called Russian Meddling when he was told about it by the FBI before the Election? Because he thought Crooked Hillary was going to win, and he didn’t want to upset the apple cart! He was in charge, not me, and did nothing.",Hilary
4007,4008,2018-05-28,democrats,"weak on Crime, the Border and want to be gentle and kind to MS-13 gang members","A Democratic lawmaker just introduced a bill to Repeal the GOP Tax Cuts (no chance). This is too good to be true for Republicans...Remember, the Nancy Pelosi Dems are also weak on Crime, the Border and want to be gentle and kind to MS-13 gang members...not good!",Hilary
4008,4009,2018-05-28,democrats,not good!,"A Democratic lawmaker just introduced a bill to Repeal the GOP Tax Cuts (no chance). This is too good to be true for Republicans...Remember, the Nancy Pelosi Dems are also weak on Crime, the Border and want to be gentle and kind to MS-13 gang members...not good!",Hilary
4009,4010,2018-05-29,mueller-team,The 13 Angry Democrats,"The 13 Angry Democrats (plus people who worked 8 years for Obama) working on the rigged Russia Witch Hunt, will be MEDDLING with the mid-term elections, especially now that Republicans (stay tough!) are taking the lead in Polls. There was no Collusion, except by the Democrats!",Hilary
4010,4011,2018-05-29,mueller-team,will be MEDDLING with the mid-term elections,"The 13 Angry Democrats (plus people who worked 8 years for Obama) working on the rigged Russia Witch Hunt, will be MEDDLING with the mid-term elections, especially now that Republicans (stay tough!) are taking the lead in Polls. There was no Collusion, except by the Democrats!",Hilary
4011,4012,2018-05-29,mueller-team,13 Angry and heavily conflicted Democrats,"Why aren’t the 13 Angry and heavily conflicted Democrats investigating the totally Crooked Campaign of totally Crooked Hillary Clinton. It’s a Rigged Witch Hunt, that’s why! Ask them if they enjoyed her after election celebration!",Hilary
4012,4013,2018-05-29,hillary-clinton,totally Crooked Campaign,"Why aren’t the 13 Angry and heavily conflicted Democrats investigating the totally Crooked Campaign of totally Crooked Hillary Clinton. It’s a Rigged Witch Hunt, that’s why! Ask them if they enjoyed her after election celebration!",Hilary
4013,4014,2018-05-29,hillary-clinton,totally Crooked,"Why aren’t the 13 Angry and heavily conflicted Democrats investigating the totally Crooked Campaign of totally Crooked Hillary Clinton. It’s a Rigged Witch Hunt, that’s why! Ask them if they enjoyed her after election celebration!",Hilary
4014,4015,2018-05-29,trump-russia,rigged,"The 13 Angry Democrats (plus people who worked 8 years for Obama) working on the rigged Russia Witch Hunt, will be MEDDLING with the mid-term elections, especially now that Republicans (stay tough!) are taking the lead in Polls. There was no Collusion, except by the Democrats!",Hilary
4015,4016,2018-05-29,trump-russia,Witch Hunt,"The 13 Angry Democrats (plus people who worked 8 years for Obama) working on the rigged Russia Witch Hunt, will be MEDDLING with the mid-term elections, especially now that Republicans (stay tough!) are taking the lead in Polls. There was no Collusion, except by the Democrats!",Hilary
4016,4017,2018-05-29,trump-russia,a Rigged Witch Hunt,"Why aren’t the 13 Angry and heavily conflicted Democrats investigating the totally Crooked Campaign of totally Crooked Hillary Clinton. It’s a Rigged Witch Hunt, that’s why! Ask them if they enjoyed her after election celebration!",Hilary
4017,4018,2018-05-29,trump-russia,Rigged Russia Witch Hunt,"Sorry, I’ve got to start focusing my energy on North Korea Nuclear, bad Trade Deals, VA Choice, the Economy, rebuilding the Military, and so much more, and not on the Rigged Russia Witch Hunt that should be investigating Clinton/Russia/FBI/Justice/Obama/Comey/Lynch etc.",Hilary
4018,4019,2018-05-29,the-media,Fake,"The Fake Mainstream Media has, from the time I announced I was running for President, run the most highly sophisticated & dishonest Disinformation Campaign in the history of politics. No matter how well WE do, they find fault. But the forgotten men & women WON, I’m President!",Hilary
4019,4020,2018-05-29,the-media,run the most highly sophisticated & dishonest Disinformation Campaign in the history of politics,"The Fake Mainstream Media has, from the time I announced I was running for President, run the most highly sophisticated & dishonest Disinformation Campaign in the history of politics. No matter how well WE do, they find fault. But the forgotten men & women WON, I’m President!",Hilary
4020,4021,2018-05-29,the-media,"No matter how well WE do, they find fault","The Fake Mainstream Media has, from the time I announced I was running for President, run the most highly sophisticated & dishonest Disinformation Campaign in the history of politics. No matter how well WE do, they find fault. But the forgotten men & women WON, I’m President!",Hilary
4021,4022,2018-05-30,bob-iger,never called President Donald J. Trump to apologize for the HORRIBLE statements made and said about me on ABC,"Bob Iger of ABC called Valerie Jarrett to let her know that ‘ABC does not tolerate comments like those’ made by Roseanne Barr. Gee, he never called President Donald J. Trump to apologize for the HORRIBLE statements made and said about me on ABC. Maybe I just didn’t get the call?",Hilary
4022,4023,2018-05-30,the-new-york-times,Failing and Corrupt,"The Failing and Corrupt @nytimes estimated the crowd last night at ‘1000 people,’ when in fact it was many times that number - and the arena was rockin’. This is the way they demean and disparage. They are very dishonest people who don’t ‘get’ me, and never did!",Hilary
4023,4024,2018-05-30,the-new-york-times,they demean and disparage,"The Failing and Corrupt @nytimes estimated the crowd last night at ‘1000 people,’ when in fact it was many times that number - and the arena was rockin’. This is the way they demean and disparage. They are very dishonest people who don’t ‘get’ me, and never did!",Hilary
4024,4025,2018-05-30,the-new-york-times,"very dishonest people who don’t “get” me, and never did!","The Failing and Corrupt @nytimes estimated the crowd last night at ‘1000 people,’ when in fact it was many times that number - and the arena was rockin’. This is the way they demean and disparage. They are very dishonest people who don’t ‘get’ me, and never did!",Hilary
4025,4026,2018-05-31,trump-russia,Phony Witch Hunt,"The soon to be released book, ‘The Russia Hoax, The Illicit Scheme To Clear Hillary Clinton And Frame Donald Trump,’ written by Gregg Jarrett, looks like a real deal big hit. The Phony Witch Hunt will be opened up for the world to see! Out in 5 weeks.",Hilary
4026,4027,2018-05-31,the-media,corrupt,"The corrupt Mainstream Media is working overtime not to mention the infiltration of people, Spies (Informants), into my campaign! Surveillance much?",Hilary
4027,4028,2018-05-31,the-media,"working overtime not to mention the infiltration of people, Spies (Informants), into my campaign!","The corrupt Mainstream Media is working overtime not to mention the infiltration of people, Spies (Informants), into my campaign! Surveillance much?",Hilary
4028,4029,2018-05-31,the-media,Corrupt,"Not that it matters but I never fired James Comey because of Russia! The Corrupt Mainstream Media loves to keep pushing that narrative, but they know it is not true!",Hilary
4029,4030,2018-06-01,full-frontal,low ratings show,"Why aren’t they firing no talent Samantha Bee for the horrible language used on her low ratings show? A total double standard but that’s O.K., we are Winning, and will be doing so for a long time to come!",Hilary
4030,4031,2018-06-01,samantha-bee,no talent,"Why aren’t they firing no talent Samantha Bee for the horrible language used on her low ratings show? A total double standard but that’s O.K., we are Winning, and will be doing so for a long time to come!",Hilary
4031,4032,2018-06-01,trump-russia,Hoax Investigation,"A.P. has just reported that the Russian Hoax Investigation has now cost our government over $17 million, and going up fast. No Collusion, except by the Democrats!",Hilary
4032,4033,2018-06-02,trade-pacts,Stupid Trade!,"The United States must, at long last, be treated fairly on Trade. If we charge a country ZERO to sell their goods, and they charge us 25, 50 or even 100 percent to sell ours, it is UNFAIR and can no longer be tolerated. That is not Free or Fair Trade, it is Stupid Trade!",Hilary
4033,4034,2018-06-02,wall-street-journal,never mentions the unfairness of the Tariffs routinely charged against the U.S.,"Why is it that the Wall Street Journal, though well meaning, never mentions the unfairness of the Tariffs routinely charged against the U.S. by other countries, or the many Billions of Dollars that the Tariffs we are now charging are, and will be, pouring into U.S. coffers?",Hilary
4034,4035,2018-06-02,department-of-justice,Is the Special Counsel/Justice Department leaking my lawyers letters,There was No Collusion with Russia (except by the Democrats). When will this very expensive Witch Hunt Hoax ever end? So bad for our Country. Is the Special Counsel/Justice Department leaking my lawyers letters to the Fake News Media? Should be looking at Dems corruption instead?,Hilary
4035,4036,2018-06-02,trump-russia,very expensive Witch Hunt Hoax,There was No Collusion with Russia (except by the Democrats). When will this very expensive Witch Hunt Hoax ever end? So bad for our Country. Is the Special Counsel/Justice Department leaking my lawyers letters to the Fake News Media? Should be looking at Dems corruption instead?,Hilary
4036,4037,2018-06-02,trump-russia,So bad for our Country,There was No Collusion with Russia (except by the Democrats). When will this very expensive Witch Hunt Hoax ever end? So bad for our Country. Is the Special Counsel/Justice Department leaking my lawyers letters to the Fake News Media? Should be looking at Dems corruption instead?,Hilary
4037,4038,2018-06-02,cnn,Fake News CNN is dead!,"Real @FoxNews is doing great, Fake News CNN is dead! https://t.co/1p37tPiB3v",Hilary
4038,4039,2018-06-02,the-media,Fake News,There was No Collusion with Russia (except by the Democrats). When will this very expensive Witch Hunt Hoax ever end? So bad for our Country. Is the Special Counsel/Justice Department leaking my lawyers letters to the Fake News Media? Should be looking at Dems corruption instead?,Hilary
4039,4040,2018-06-04,mueller-team,13 very Angry and Conflicted Democrats (& others),"As has been stated by numerous legal scholars, I have the absolute right to PARDON myself, but why would I do that when I have done nothing wrong? In the meantime, the never ending Witch Hunt, led by 13 very Angry and Conflicted Democrats (& others) continues into the mid-terms!",Hilary
4040,4041,2018-06-04,mueller-team,The appointment of the Special Counsel is totally UNCONSTITUTIONAL!,"The appointment of the Special Counsel is totally UNCONSTITUTIONAL! Despite that, we play the game because I, unlike the Democrats, have done nothing wrong!",Hilary
4041,4042,2018-06-04,trump-russia,phony Russian Witch Hunt,The Fake News Media is desperate to distract from the economy and record setting economic numbers and so they keep talking about the phony Russian Witch Hunt.,Hilary
4042,4043,2018-06-04,the-media,Fake News,The Fake News Media is desperate to distract from the economy and record setting economic numbers and so they keep talking about the phony Russian Witch Hunt.,Hilary
4043,4044,2018-06-04,the-media,desperate to distract from the economy and record setting economic numbers,The Fake News Media is desperate to distract from the economy and record setting economic numbers and so they keep talking about the phony Russian Witch Hunt.,Hilary
4044,4045,2018-06-05,nfl,no escaping to Locker Rooms!,"We will proudly be playing the National Anthem and other wonderful music celebrating our Country today at 3 P.M., The White House, with the United States Marine Band and the United States Army Chorus. Honoring America! NFL, no escaping to Locker Rooms!",Hilary
4045,4046,2018-06-05,jeff-sessions,didn’t tell me he was going to recuse himself...I would have quickly picked someone else,"The Russian Witch Hunt Hoax continues, all because Jeff Sessions didn’t tell me he was going to recuse himself...I would have quickly picked someone else. So much time and money wasted, so many lives ruined...and Sessions knew better than most that there was No Collusion!",Hilary
4046,4047,2018-06-05,james-comey,Slippery James Comey,"What is taking so long with the Inspector General’s Report on Crooked Hillary and Slippery James Comey. Numerous delays. Hope Report is not being changed and made weaker! There are so many horrible things to tell, the public has the right to know. Transparency!",Hilary
4047,4048,2018-06-05,hillary-clinton,Crooked,"What is taking so long with the Inspector General’s Report on Crooked Hillary and Slippery James Comey. Numerous delays. Hope Report is not being changed and made weaker! There are so many horrible things to tell, the public has the right to know. Transparency!",Hilary
4048,4049,2018-06-05,trump-russia,Witch Hunt Hoax,"The Russian Witch Hunt Hoax continues, all because Jeff Sessions didn’t tell me he was going to recuse himself...I would have quickly picked someone else. So much time and money wasted, so many lives ruined...and Sessions knew better than most that there was No Collusion!",Hilary
4049,4050,2018-06-05,democrats,can’t get their act together!,Separating families at the Border is the fault of bad legislation passed by the Democrats. Border Security laws should be changed but the Dems can’t get their act together! Started the Wall.,Hilary
4050,4051,2018-06-05,democrats,have depleted our military and busted our budgets on needless spending,"Imagine how much wasteful spending we’d save if we didn’t have Chuck and Nancy standing in our way! For years, Democrats in Congress have depleted our military and busted our budgets on needless spending, and to what end? No more.",Hilary
4051,4052,2018-06-06,pundits,Fake News,"Many more Republican voters showed up yesterday than the Fake News thought possible. The political pundits just don’t get what is going on out there - or they do get it but refuse to report the facts! Remember, Dems are High Tax, High Crime, easy to beat!",Hilary
4052,4053,2018-06-06,pundits,refuse to report the facts!,"Many more Republican voters showed up yesterday than the Fake News thought possible. The political pundits just don’t get what is going on out there - or they do get it but refuse to report the facts! Remember, Dems are High Tax, High Crime, easy to beat!",Hilary
4053,4054,2018-06-06,pundits,just don’t get what is going on out there,"Many more Republican voters showed up yesterday than the Fake News thought possible. The political pundits just don’t get what is going on out there - or they do get it but refuse to report the facts! Remember, Dems are High Tax, High Crime, easy to beat!",Hilary
4054,4055,2018-06-06,peter-strzok,incompetent & corrupt,"Wow, Strzok-Page, the incompetent & corrupt FBI lovers, have texts referring to a counter-intelligence operation into the Trump Campaign dating way back to December, 2015. SPYGATE is in full force! Is the Mainstream Media interested yet? Big stuff!",Hilary
4055,4056,2018-06-06,trump-russia,The greatest Witch Hunt in political history!,....The greatest Witch Hunt in political history!,Hilary
4056,4057,2018-06-06,democrats,"High Tax, High Crime, easy to beat!","Many more Republican voters showed up yesterday than the Fake News thought possible. The political pundits just don’t get what is going on out there - or they do get it but refuse to report the facts! Remember, Dems are High Tax, High Crime, easy to beat!",Hilary
4057,4058,2018-06-06,cnn,Fake News,"Great night for Republicans! Congratulations to John Cox on a really big number in California. He can win. Even Fake News CNN said the Trump impact was really big, much bigger than they ever thought possible. So much for the big Blue Wave, it may be a big Red Wave. Working hard!",Hilary
4058,4059,2018-06-06,the-media,Fake News,"The Fake News Media has been so unfair, and vicious, to my wife and our great First Lady, Melania. During her recovery from surgery they reported everything from near death, to facelift, to left the W.H. (and me) for N.Y. or Virginia, to abuse. All Fake, she is doing really well!",Hilary
4059,4060,2018-06-06,the-media,"so unfair, and vicious","The Fake News Media has been so unfair, and vicious, to my wife and our great First Lady, Melania. During her recovery from surgery they reported everything from near death, to facelift, to left the W.H. (and me) for N.Y. or Virginia, to abuse. All Fake, she is doing really well!",Hilary
4060,4061,2018-06-06,the-media,Fake,"The Fake News Media has been so unfair, and vicious, to my wife and our great First Lady, Melania. During her recovery from surgery they reported everything from near death, to facelift, to left the W.H. (and me) for N.Y. or Virginia, to abuse. All Fake, she is doing really well!",Hilary
4061,4062,2018-06-06,the-media,Fake News is really bad!,"...Four reporters spotted Melania in the White House last week walking merrily along to a meeting. They never reported the sighting because it would hurt the sick narrative that she was living in a different part of the world, was really ill, or whatever. Fake News is really bad!",Hilary
4062,4063,2018-06-07,justin-trudeau,so indignant,"Prime Minister Trudeau is being so indignant, bringing up the relationship that the U.S. and Canada had over the many years and all sorts of other things...but he doesn’t bring up the fact that they charge us up to 300% on dairy â€” hurting our Farmers, killing our Agriculture!",Hilary
4063,4064,2018-06-07,mueller-team,13 Angry Democrats,"Isn’t it Ironic? Getting ready to go to the G-7 in Canada to fight for our country on Trade (we have the worst trade deals ever made), then off to Singapore to meet with North Korea & the Nuclear Problem...But back home we still have the 13 Angry Democrats pushing the Witch Hunt!",Hilary
4064,4065,2018-06-07,mueller-team,13 Angry Democrats (plus),When and where will all of the many conflicts of interest be listed by the 13 Angry Democrats (plus) working on the Witch Hunt Hoax. There has never been a group of people on a case so biased or conflicted. It is all a Democrat Excuse for LOSING the Election. Where is the server?,Hilary
4065,4066,2018-06-07,mueller-team,13 Angry Democrats,The Obama Administration is now accused of trying to give Iran secret access to the financial system of the United States. This is totally illegal. Perhaps we could get the 13 Angry Democrats to divert some of their energy to this ‘matter’ (as Comey would call it). Investigate!,Hilary
4066,4067,2018-06-07,trade-pacts,the worst trade deals ever made,"Isn’t it Ironic? Getting ready to go to the G-7 in Canada to fight for our country on Trade (we have the worst trade deals ever made), then off to Singapore to meet with North Korea & the Nuclear Problem...But back home we still have the 13 Angry Democrats pushing the Witch Hunt!",Hilary
4067,4068,2018-06-07,jeff-flake,setting record low polling numbers,"How could Jeff Flake, who is setting record low polling numbers in Arizona and was therefore humiliatingly forced out of his own Senate seat without even a fight (and who doesn’t have a clue), think about running for office, even a lower one, again? Let’s face it, he’s a Flake!",Hilary
4068,4069,2018-06-07,jeff-flake,humiliatingly forced out of his own Senate seat without even a fight,"How could Jeff Flake, who is setting record low polling numbers in Arizona and was therefore humiliatingly forced out of his own Senate seat without even a fight (and who doesn’t have a clue), think about running for office, even a lower one, again? Let’s face it, he’s a Flake!",Hilary
4069,4070,2018-06-07,jeff-flake,doesn’t have a clue,"How could Jeff Flake, who is setting record low polling numbers in Arizona and was therefore humiliatingly forced out of his own Senate seat without even a fight (and who doesn’t have a clue), think about running for office, even a lower one, again? Let’s face it, he’s a Flake!",Hilary
4070,4071,2018-06-07,jeff-flake,he’s a Flake!,"How could Jeff Flake, who is setting record low polling numbers in Arizona and was therefore humiliatingly forced out of his own Senate seat without even a fight (and who doesn’t have a clue), think about running for office, even a lower one, again? Let’s face it, he’s a Flake!",Hilary
4071,4072,2018-06-07,james-comey,"When will people start saying, “thank you, Mr. President, for firing James Comey?”","When will people start saying, ‘thank you, Mr. President, for firing James Comey?’",Hilary
4072,4073,2018-06-07,trump-russia,Witch Hunt!,"Isn’t it Ironic? Getting ready to go to the G-7 in Canada to fight for our country on Trade (we have the worst trade deals ever made), then off to Singapore to meet with North Korea & the Nuclear Problem...But back home we still have the 13 Angry Democrats pushing the Witch Hunt!",Hilary
4073,4074,2018-06-07,trump-russia,Witch Hunt Hoax,When and where will all of the many conflicts of interest be listed by the 13 Angry Democrats (plus) working on the Witch Hunt Hoax. There has never been a group of people on a case so biased or conflicted. It is all a Democrat Excuse for LOSING the Election. Where is the server?,Hilary
4074,4075,2018-06-07,democrats,Really bad!,Our Justice Department must not let Awan & Debbie Wasserman Schultz off the hook. The Democrat I.T. scandal is a key to much of the corruption we see today. They want to make a ‘plea deal’ to hide what is on their Server. Where is Server? Really bad!,Hilary
4075,4076,2018-06-08,trade-pacts,"Totally unfair to our farmers, workers & companies","Why isn’t the European Union and Canada informing the public that for years they have used massive Trade Tariffs and non-monetary Trade Barriers against the U.S. Totally unfair to our farmers, workers & companies. Take down your tariffs & barriers or we will more than match you!",Hilary
4076,4077,2018-06-08,trade-pacts,unfair,"Looking forward to straightening out unfair Trade Deals with the G-7 countries. If it doesn’t happen, we come out even better!",Hilary
4077,4078,2018-06-08,nancy-pelosi,did NOTHING about North Korea,"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!",Hilary
4078,4079,2018-06-08,barack-obama,did NOTHING about North Korea,"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!",Hilary
4079,4080,2018-06-08,chuck-schumer,did NOTHING about North Korea,"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!",Hilary
4080,4081,2018-06-08,chuck-schumer,weak on Crime,"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!",Hilary
4081,4082,2018-06-08,chuck-schumer,High Tax Schumer,"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!",Hilary
4082,4083,2018-06-08,chuck-schumer,failed with North Korea and Iran,"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!",Hilary
4083,4084,2018-06-08,chuck-schumer,we don't need his advice!,"Obama, Schumer and Pelosi did NOTHING about North Korea, and now weak on Crime, High Tax Schumer is telling me what to do at the Summit the Dems could never set up. Schumer failed with North Korea and Iran, we don’t need his advice!",Hilary
4084,4085,2018-06-09,justin-trudeau,false statements at his news conference,"Based on Justin’s false statements at his news conference, and the fact that Canada is charging massive Tariffs to our U.S. farmers, workers and companies, I have instructed our U.S. Reps not to endorse the Communique as we look at Tariffs on automobiles flooding the U.S. Market!",Hilary
4085,4086,2018-06-09,justin-trudeau,acted so meek and mild,"PM Justin Trudeau of Canada acted so meek and mild during our @G7 meetings only to give a news conference after I left saying that, “US Tariffs were kind of insulting” and he “will not be pushed around.” Very dishonest & weak. Our Tariffs are in response to his of 270% on dairy!",Hilary
4086,4087,2018-06-09,justin-trudeau,Very dishonest & weak,"PM Justin Trudeau of Canada acted so meek and mild during our @G7 meetings only to give a news conference after I left saying that, “US Tariffs were kind of insulting” and he “will not be pushed around.” Very dishonest & weak. Our Tariffs are in response to his of 270% on dairy!",Hilary
4087,4088,2018-06-11,nato,countries that rip us off,....And add to that the fact that the U.S. pays close to the entire cost of NATO-protecting many of these same countries that rip us off on Trade (they pay only a fraction of the cost-and laugh!). The European Union had a $151 Billion Surplus-should pay much more for Military!,Hilary
4088,4089,2018-06-11,justin-trudeau,acts hurt when called out!,"Fair Trade is now to be called Fool Trade if it is not Reciprocal. According to a Canada release, they make almost 100 Billion Dollars in Trade with U.S. (guess they were bragging and got caught!). Minimum is 17B. Tax Dairy from us at 270%. Then Justin acts hurt when called out!",Hilary
4089,4090,2018-06-11,trade-pacts,Fool Trade,"Fair Trade is now to be called Fool Trade if it is not Reciprocal. According to a Canada release, they make almost 100 Billion Dollars in Trade with U.S. (guess they were bragging and got caught!). Minimum is 17B. Tax Dairy from us at 270%. Then Justin acts hurt when called out!",Hilary
4090,4091,2018-06-12,mark-sanford,has been very unhelpful to me in my campaign to MAGA,"Mark Sanford has been very unhelpful to me in my campaign to MAGA. He is MIA and nothing but trouble. He is better off in Argentina. I fully endorse Katie Arrington for Congress in SC, a state I love. She is tough on crime and will continue our fight to lower taxes. VOTE Katie!",Hilary
